Year	Situk	Chilkat	Unuk	Chickamin	Alsek	Taku	Stikine
1975						0.052682134	0.089829221
1976	0.390389447				0.140299479	0.040828747	0.069617805
1977	0.369339148				0.139043231	0.084052533	0.143319432
1978	0.367908309				0.204363636	0.101196578	0.172552041
1979	0.432178699				0.202628193	0.165364729	0.281966269
1980	0.466082996				0.137525806	0.133416065	0.227490047
1981	0.50226886				0.12764211	0.115571319	0.108624731
1982	0.31395451				0.108738595	0.170478904	0.148608644
1983	0.307583934			0.373690769	0.063891403	0.149044879	0.372423596
1984	0.246355373			0.27969593	0.080655405	0.148102728	0.20545697
1985	0.242877068			0.290816133	0.094308943	0.083611061	0.301873468
1986	0.097507042			0.396029129	0.063298638	0.064216594	0.351947403
1987	0.388848753			0.43647229	0.070033389	0.062603407	0.242539944
1988	0.273188915			0.32105989	0.055784229	0.061909578	0.1564948
1989	0.375300336		0.188654853	0.369087967	0.06763107	0.108401773	0.244417328
1990	0.313411079		0.224869858	0.363651306	0.096736964	0.109431247	0.284788421
1991	0.452263196		0.252163077	0.397922495	0.082767871	0.119850913	0.267005298
1992	0.466161343		0.257283051	0.367210632	0.089432177	0.096495493	0.1711688
1993	0.429764022		0.239852448	0.308141419	0.04553596	0.141868584	0.127370114
1994	0.549544843		0.360193233	0.331989993	0.074342067	0.137583432	0.165133304
1995	0.647665897		0.590968541	0.329052786	0.086477118	0.130071888	0.213931686
1996	0.66249287		0.018376723	0.28457444	0.108161093	0.110955075	0.18227959
1997	0.532636287		0.134353568	0.300107034	0.083345561	0.096178458	0.272603828
1998	0.646175695		0.197327486	0.312851897	0.123074949	0.102334091	0.138291371
1999	0.687532189		0.216134305	0.184020183	0.062130558	0.198537308	0.294936118
2000	0.489378039		0.138798964	0.162312948	0.101398204	0.132046843	0.176473023
2001	0.677224876		0.158780099	0.252805532	0.11097852	0.132280489	0.088664008
2002	0.308584752		0.192429934	0.215423914	0.162052362	0.142750943	0.125638438
2003	0.547209005	0.099120752	0.187591803	0.288321175	0.167630058	0.155903327	0.147249892
2004	0.598876835	0.240062181	0.329107057	0.245620125	0.11184953	0.11999233	0.232012089
2005	0.158330459	0.219510416	0.36448062	0.368625542	0.160165041	0.448017115	0.586603748
2006	0.212399178	0.150230519	0.285490704	0.336450325	0.239358219	0.368216156	0.643523855
2007	0.260265764	0.375341527	0.262010478	0.283422241	0.234704927	0.343132305	0.631429229
2008	0.349858754	0.20746363	0.213434426	0.209123788	0.251687177	0.189148108	0.509491261
2009	0.345185506	0.109124529	0.264418559	0.201317133	0.114155899	0.342507157	0.357897646
2010	0.489492568	0.340007682	0.306608432	0.246183854	0.062912277	0.270918652	0.312800984
2011	0.030646236	0.232261121	0.303935176	0.209888197	0.15562872	0.224220138	0.358681316
2012	0.220456953	0.281221873	0.737708828	0.339454397	0.251968504	0.301381474	0.306793413
2013	0.292965223	0.196614493	0.466018336	0.382417921	0.096866607	0.152657518	0.292472202
2014	0.074152542	0.347041699	0.449519957	0.267728065	0.249001332	0.135391806	0.169075451
2015	0.074152542	0.347041699	0.449519957	0.267728065	0.249001332	0.135391806	0.169075451
2016	0.074152542	0.347041699	0.449519957	0.267728065	0.249001332	0.135391806	0.169075451
2017	0.074152542	0.347041699	0.449519957	0.267728065	0.249001332	0.135391806	0.169075451
