Year	YrLab	Period	'Situk'	'Alsek'	'Taku'	'Stikine'	'Chilkat'	'Ksalmon'	'Andrew'	'Unuk'	'Chickamin'	'Blossom'	'Keta'	'Yakuon'	'Nass'	'Skeena'	'Kitsumkalum'	'Wannock'	'ChuckKill'	'WCVI'	'Marble'	'Burman'	'Tahsis'	'Artlish'	'Kaouk'	'Tahsish'	'Cowichan'	'Nanaimo'	'FraserSp13'	'FraserSp12'	'Nicola12'	'FraserSum13'	'FraserSum03'	'Shuswap04'	'Harrison'	'SkagitSp'	'SkagitSF'	'Stillaguamish'	'Snohomish'	'Green'	'NooksackSp'	'LkWash'	'Hoko'	'QuillSum'	'QuillFall'	'HohSpSum'	'HohFall'	'QueetsSpSum'	'QueetsFa'	'GraysHbrSpr'	'GraysHbrFall'	'ColRUpSpr'	'ColRSum'	'ColRURB'	'Coweeman'	'Lewis'	'Deschutes'	'Nehalem'	'Siletz'	'Siuslaw'	'Umpqua'	'Coquillle'	'Dean '	'Atnarko'	'UpperGeo'
1975	75	1975-84	NA	NA	12920	7571	NA	64	507	NA	1658	565	611	1500	NA	20319	NA	3000	150	NA	400	200	75	25	75	25	NA	NA	6673	8360	NA	16043	41067	NA	NA	NA	11320	1198	3953	3394	NA	918	NA	NA	NA	NA	NA	NA	NA	NA	4251	NA	NA	29600	94	13859	NA	5197	2062	4427	211	4408	NA	NA	20949
1976	76	1975-84	1421	5282	24582	5723	NA	99	404	NA	437	263	253	700	NA	13078	NA	1500	100	NA	400	400	200	25	25	25	NA	NA	7875	5575	NA	11849	6320	NA	NA	NA	14120	2140	4659	3140	NA	582	NA	1300	NA	600	2500	505	1200	600	1836	NA	NA	27700	74	3371	NA	9807	1326	7999	135	1980	NA	NA	22298
1977	77	1975-84	1732	12706	29497	11445	NA	204	456	4706	1078	433	692	800	13688	29018	NA	1400	550	NA	950	500	150	60	75	100	NA	NA	9786	4458	NA	15670	26374	NA	NA	NA	9218	1475	5542	3804	NA	944	NA	3800	NA	1000	2100	732	3600	800	5195	NA	NA	36060	86	6930	7903	11478	3314	9492	229	3922	NA	NA	23570
1978	78	1975-84	808	12034	17124	6835	NA	87	388	5344	860	553	1180	600	15485	22661	NA	2000	500	NA	1500	1000	100	NA	50	50	NA	NA	13150	5209	NA	16415	24211	NA	NA	NA	13075	1232	7905	3304	NA	1245	NA	2300	NA	1400	1900	1110	2200	1000	4555	NA	NA	25798	62	5363	5393	12059	2062	5872	437	3543	3500	NA	17572
1979	79	1975-84	1284	17354	21617	12610	NA	134	327	2783	665	209	1282	400	11253	18488	NA	2000	50	NA	750	650	348	40	60	200	NA	NA	12999	3437	NA	8950	25471	NA	NA	NA	13306	1042	5726	9704	NA	1739	NA	2100	NA	1400	1700	870	3900	400	9381	NA	18797	28926	88	8023	5126	12205	7217	8040	392	3613	4000	NA	8858
1980	80	1975-84	905	10718	39239	30573	NA	106	282	4909	1240	344	578	600	13476	23429	NA	2000	1	NA	5000	345	NA	100	NA	200	NA	NA	14583	7460	NA	11883	10771	NA	NA	NA	20058	821	6526	7743	NA	1903	NA	964	6700	800	2200	1038	3200	200	11656	8906	13854	27708	56	16394	4106	5555	3680	10630	761	3599	2000	NA	5776
1981	81	1975-84	702	8587	49559	36057	NA	154	536	3532	1824	615	990	750	12625	24523	NA	3000	100	NA	3000	300	150	500	100	1000	5782	NA	10101	3718	NA	11992	16639	NA	NA	NA	8283	630	3330	3606	NA	970	NA	815	5963	1498	3100	988	4250	600	7577	14571	8639	19520	38	19297	6070	10752	4435	8724	972	3864	3500	NA	9611
1982	82	1975-84	434	9584	23848	40488	NA	394	672	6528	2712	1335	2270	1400	7959	17092	NA	750	950	NA	5000	NA	125	100	NA	1000	5034	NA	11718	6637	NA	12715	8079	NA	NA	NA	9910	773	4498	1840	NA	1189	NA	1126	7107	1553	4500	781	4150	610	5606	14322	6587	28313	73	8370	5513	5085	3415	10870	1104	5581	NA	NA	15091
1983	83	1975-84	592	10344	9794	6424	NA	245	366	5436	2736	2279	2474	600	13252	23562	NA	1750	1400	NA	1000	475	50	NA	300	500	4742	NA	22168	3264	NA	14634	9192	5396	NA	NA	8723	387	4537	3679	NA	1646	NA	548	3069	1696	2500	1044	2750	800	5482	14131	6334	45567	40	13540	5491	4431	2136	4186	1708	2871	500	NA	12977
1984	84	1975-84	1726	7213	20778	13995	NA	265	389	8876	5235	1966	1836	300	20967	37598	12408	750	575	NA	600	700	12	650	400	1500	5278	NA	27242	8068	NA	13550	15393	7582	120835	NA	12628	374	3484	3353	233	1610	NA	618	9128	1430	1900	958	4350	1128	21058	12537	13984	52266	164	7132	2779	20341	3461	11168	2851	4031	4500	NA	9292
